carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,type,manufacturer,model,engines,seats,engine,arr_delay
B6,1201,N643JB,JFK,FLL,135.0,1069,21,50,73.04,66.92,81.14,160.0,13.80936,19.56326,0.0,1019.4,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
DL,1773,N3743H,JFK,LAS,287.0,2248,15,35,71.06,42.98,36.28,230.0,14.96014,,0.0,1020.4,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
EV,4572,N11107,EWR,GSP,84.0,594,15,9,78.8,69.8,73.95,200.0,8.05546,,0.0,,5.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,1.0
B6,179,N526JB,JFK,PHX,305.0,2153,17,35,44.06,14.0,29.23,270.0,17.2617,24.16638,0.0,1009.2,10.0,,,,,,,1.0
US,1733,N162UW,LGA,CLT,78.0,544,7,53,69.98,53.96,56.78,230.0,6.90468,,0.0,1021.3,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2.0,199.0,Turbo-jet,0.0
UA,1519,N16701,EWR,STT,199.0,1634,9,22,57.92,26.96,30.36,10.0,6.90468,,0.0,1030.1,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
UA,436,N471UA,EWR,FLL,138.0,1065,20,0,78.98,55.04,43.68,230.0,11.5078,,0.0,1016.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
UA,322,N844UA,LGA,CLE,67.0,419,15,35,82.94,57.02,41.25,310.0,12.65858,23.0156,0.0,1012.8,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
WN,124,N7741C,LGA,MDW,105.0,725,9,30,60.08,42.08,51.34,10.0,9.20624,,0.0,1024.0,10.0,Fixed wing multi engine,BOEING,737-7BD,2.0,149.0,Turbo-fan,0.0
B6,1443,N348JB,EWR,PBI,152.0,1023,17,24,33.98,24.08,66.72,270.0,10.35702,,0.0,1023.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
EV,4963,N605QX,EWR,MSP,144.0,1008,6,20,71.96,64.04,76.13,340.0,6.90468,,0.0,1013.8,9.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
US,1543,N556UW,LGA,CLT,76.0,544,14,50,78.98,46.04,31.28,330.0,8.05546,,0.0,1013.9,10.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,Turbo-fan,0.0
